,Country,DAuser,APRU,Internetpt,internetus,GDPper,AvemarrigeAgewo,Pop,Marriage Rate per 1000 people,Divorce Rate per 1000 people,Medianage,Gender Wage Gap,PD,ID,MC,UA,LTO,IG,Medianagedm,MFC,RF,SF,GFF,DAPrate,DVrate,Year_Gini,Gini,Dev_Dum
49,Jamaica,0.11,14.96,0.513,1505580.615,9967.76802,33.200001,2934855,8.699999809,0.69999999,29.4,15.33,45,39,68,13,NA,NA,1,49.75,88.75,55,25,0.037480557,0.69999999,2004,45.5,0
50,Japan,9.84,24.06,0.906,114635364.6,41335.5232,29.4,126529100,4.9,1.7,46.299999,NA,54,46,95,92,88,42,0,52.05,95.25,35,47.5,0.077768671,1.7,2013,32.9,1
51,Jordan,0.36,8.84,0.61,6073166.71,10086.4495,24.6,9956011,10.39999962,2,22.1,NA,70,30,45,65,16,43,1,22.876,34.38,5,35,0.03615906,2,2010,33.7,0
52,Kazakhstan,0.63,15.78,0.789,14420157.32,26147.0461,22.4,18276498.5,9,2.3,29.299999,NA,88,20,50,88,85,22,1,58.4,65,76,37.5,0.034470498,2.3,2017,27.5,0
53,Kenya,0.99,8.55,0.262,13464968.62,4302.99907,21.9,51393010,NA,NA,19,NA,70,25,60,50,NA,NA,1,37.95,87.25,20,31.25,0.01926332,NA,2015,40.8,0
54,Latvia,0.08,14.7,0.777,1497414.198,30644.6083,28.9,1927174,6.8,3.0999999,42.5,17.38,44,70,9,63,69,13,0,72.75,88.75,90,47.5,0.04151156,3.0999999,2017,35.6,1
55,Lebanon,0.24,20.19,0.719,4924377.075,15980.4076,28.299999,6848925,7.199999809,1.1,28.5,NA,75,40,65,50,14,25,1,39.526,80.13,40,18.75,0.035041996,1.1,2011,31.8,0
56,Luxembourg,0.07,30.64,0.923,561137.85,116786.48,31.6,607950,3.2,2,39.299999,5.38,40,60,50,70,64,56,0,88.826,98.13,83,90,0.115141048,2,2017,34.9,1
57,Malawi,0.34,7.27,0.179,3247653.385,1067.12678,19.9,18143315,NA,NA,17.4,NA,70,30,40,50,NA,NA,1,62.026,98.13,81,25,0.018739685,NA,2016,44.7,0
58,Malaysia,1.27,8.64,0.874,27555983.29,28186.7049,25.700001,31528585,NA,NA,27.700001,-2.25,100,26,50,36,41,57,1,24.7,46,15,23.75,0.040280907,NA,2015,41,0
59,Mexico,4.92,10.38,0.577,72812084.68,20396.4777,27.5,126190788,4.3,1.1,27.5,6.65,81,30,69,82,24,97,1,89.626,98.13,95,80,0.038988583,1.1,2018,45.4,0
60,Moldova,0.15,10.62,0.778,2105306.122,12665.0037,21.9,2706049,7.2,3,35.599998,NA,90,27,39,95,71,19,0,54,65,55,47.5,0.055431369,3,2018,25.7,0
61,Montenegro,0.03,40.01,0.65,404447.55,21236.471,27.1,622227,5.3,1.2,37.700001,7.78,88,24,48,90,75,20,0,71.15,88.75,86,47.5,0.048213916,1.2,2015,39,0
62,Morocco,0.93,12.86,0.67,24139522.46,7613.14287,24.4,36029138,NA,NA,27.9,NA,70,46,53,68,14,25,1,25.7,41,15,28.75,0.025812441,NA,2013,39.5,0
63,Mozambique,0.56,6.25,0.174,5132297.388,1319.97224,18.9,29495962,1,0,17.200001,NA,85,15,38,44,11,80,1,60.15,88.75,81,25,0.01898565,0,2014,54,0
64,Namibia,0.07,18.66,0.52,1273092.6,10166.3373,30.299999,2448255,NA,NA,21,NA,65,30,40,45,35,NA,1,NA,NA,NA,NA,0.028591793,NA,2015,59.1,0
65,Nepal,0.36,7.85,0.372,10448688.01,3329.49805,20.1,28087871,NA,NA,23.200001,NA,65,30,40,40,NA,NA,1,46.576,85.38,55,18.75,0.01281692,NA,2010,32.8,0
66,Netherlands,2.25,19.41,0.91,15680777.84,57565.1976,31.4,17231624,3.8,1.9,42.099998,16.07,38,80,14,53,67,68,0,91.626,98.13,90,90,0.13057388,1.9,2017,28.5,1
67,New Zealand,0.34,35.13,0.877,4245557,42810.8375,29,4841000,4.3,1.7,37.299999,NA,22,79,58,49,33,75,0,90.626,98.13,87.5,90,0.070233423,1.7,2018,32.5,1
68,Nigeria,2.59,15.1,0.369,72277779.06,5276.71842,21.200001,195874740,NA,NA,17.9,NA,80,30,60,55,13,84,1,21.526,57.63,15,10,0.013222736,NA,2018,35.1,0
69,North Macedonia,0.08,21.29,0.735,1530974.13,16517.499,25.5,2082958,NA,NA,17.9,NA,90,22,45,87,62,35,1,58.75,88.75,65,37.5,0.038406919,NA,2017,34.2,0
70,Norway,0.57,27.8,0.92,4886962.72,67640.1814,32.299999,5311916,4.4,2,39.200001,14.45,31,69,8,50,35,55,0,74,85,55,87.5,0.107305914,2,2017,27,1
71,Pakistan,2.46,7.3,0.164,34803264.92,4851.61275,23.200001,212215030,NA,NA,22.5,10.81,55,14,50,70,50,NA,1,11.8,14,0,22.5,0.011592016,NA,2015,33.5,0
72,Panama,0.13,17.65,0.589,2460178.197,31781.8443,21.6,4176873,3.299999952,0.89999998,28.4,4.44,95,11,44,86,NA,NA,1,69.5,92.5,80,47.5,0.031123762,0.89999998,2018,49.2,0
73,Paraguay,0.2,16.42,0.572,3978872.612,13153.16,22.700001,6956071,3.400000095,NA,24.9,-1.77,70,12,40,85,20,56,1,72,85,100,37.5,0.028751863,NA,2018,46.2,0
74,Peru,0.73,14.28,0.506,16186563.54,13084.001,23.299999,31989256,2.400000095,0.1,27.5,20.51,64,16,42,87,25,46,1,78.126,75.63,100,57.5,0.022820162,0.1,2018,42.8,0
75,Philippines,3.36,3.36,0.679,72416655.04,8717.04798,23.4,106651922,6.099999905,NA,24.1,NA,94,32,64,44,27,42,1,48.5,92.5,25,50,0.031504355,NA,2015,44.4,0
76,Poland,3.11,12.55,0.732,27797517,31834.4091,27.299999,37974750,5.1,1.7,39.700001,7.73,68,60,64,93,38,29,0,70.65,81.25,81,55,0.081896523,1.7,2017,29.7,1
77,Portugal,1.17,10.93,0.703,7229526.866,34340.7133,30.700001,10283822,3.3,2.0999999,43.900002,8.54,63,27,31,99,28,33,0,92.826,98.13,93,90,0.113770931,2.0999999,2017,33.8,1
78,Qatar,0.11,43.34,0.917,2550797.809,96732.6632,25.799999,2781677,3.700000048,1,31.299999,NA,93,25,55,80,NA,NA,1,6.376,31.88,0,0,0.039544491,1,2007,41.1,0
79,Romania,0.66,8.99,0.64,12462428.8,29213.8415,27.5,19472545,7.3,1.6,41.299999,6.61,90,30,42,90,52,20,0,65,85,60,60,0.033893875,1.6,2017,36,0
80,Russia,10.65,16.06,0.727,105035404.2,28763.5166,24.4,144477860,9.2,4.8000002,38.700001,24.42,93,39,36,95,81,20,0,44.5,57.5,35,47.5,0.073713716,4.8000002,2018,37.5,0
81,Saudi Arabia,1.51,31.05,0.808,27229557.18,48719.8641,26.6,33699947,5.199999809,1.1,29.799999,NA,95,25,60,80,36,52,1,3.626,5.63,0,6.25,0.044807192,1.1,2017,45.9,0
82,Senegal,0.22,10.99,0.461,7308859.96,3393.00442,22.200001,15854360,NA,NA,18.299999,NA,86,25,43,92,52,28,1,62.626,98.13,95,12.5,0.013876309,NA,2011,40.3,0
83,Serbia,0.54,7.83,0.683,4769118.532,17563.1654,26.6,6982604,5.1,1.3,40,8.72,86,25,43,92,52,28,0,60.126,75.63,65,47.5,0.077335046,1.3,2017,36.2,0
84,Sierra Leone,0.17,10.01,0.163,1246975.102,1702.54097,23.1,7650154,NA,NA,18.299999,NA,70,20,40,50,NA,NA,1,NA,NA,NA,NA,0.022221775,NA,2018,35.7,0
85,Singapore,0.33,40.64,0.811,4572966.236,100051.434,27.9,5638676,5.400000095,1.5,40,NA,74,20,48,8,72,46,0,46.4,65,36,47.5,0.058524377,1.5,2018,45.8,1
86,Slovenia,0.05,15.6,0.751,1557494.394,38749.252,30.4,2073894,3.1,1.2,43,7,71,27,19,88,49,48,0,71.626,98.13,60,70,0.024109236,1.2,2017,24.2,1
87,South Africa,2.7,12.33,0.529,30565420.04,12928.7942,28,57779622,3.799999952,0.69999999,26.1,NA,49,65,63,49,34,63,1,71.326,96.63,40,90,0.046729278,0.69999999,2014,63,0
88,Spain,5.45,14.52,0.793,37110618.92,40482.589,33.200001,46797754,3.7,2.0999999,43.200001,12.5,57,51,41,86,48,44,0,88.45,96.25,83,90,0.11645858,2.0999999,2017,34.7,1
89,Sri Lanka,0.64,9.81,0.33,7151100,13168.1714,23.4,21670000,10.19999981,0.2,32.299999,NA,80,35,10,45,45,NA,0,23.776,38.88,15,25,0.029533918,0.2,2016,39.8,0
90,Suriname,0.01,77.47,0.509,293179.419,17001.3478,22.799999,575991,4,1.5,28.4,6.18,85,47,37,92,NA,NA,1,58.126,98.13,55,41.25,0.017361382,1.5,1999,57.6,0
91,Sweden,1.08,28.35,0.878,8933837.892,53746.7992,33.799999,10175214,5.2,2.4000001,40.900002,13.85,31,71,5,29,53,78,0,74.25,81.25,55,90,0.106140274,2.4000001,2017,28.8,1
92,Switzerland,0.73,36.54,0.863,7347865.927,69357.4861,30.4,8514329,4.8,1.9,42.200001,17.38,34,68,70,58,74,66,0,83.626,98.13,90,70,0.085737819,1.9,2017,32.7,1
93,Tanzania,0.57,5.52,0.256,14417497.09,2651.09105,21,56318348,NA,NA,17.299999,NA,70,25,40,50,34,38,1,NA,NA,NA,NA,0.010121036,NA,2017,40.5,0
94,Thailand,3.29,7.36,0.683,47419681.89,18513.2936,24.9,69428524,5.5,1.4,37.799999,-21.57,64,20,34,64,32,45,0,37.95,59.75,20,45,0.047386864,1.4,2018,36.4,0
95,Tunisia,0.37,13.63,0.642,7424860.968,11017.7778,28.200001,11565204,8,0.89999998,31.1,NA,70,40,40,75,NA,NA,1,48.676,27.38,83,25,0.031992518,0.89999998,2015,32.8,0
96,Turkey,6.12,9.94,0.744,61245874.66,28139.1438,24.799999,82319724,7.1,1.6,29.9,-1.26,66,37,45,85,46,49,1,48.826,32.13,81,25,0.074344273,1.6,2018,41.9,0
97,Ukraine,0.15,20.05,0.689,30744914.9,12629.1417,23,44622518,5.9,3,40.299999,NA,92,25,27,95,86,14,0,33.576,55.38,15,41.25,0.003361532,3,2018,26.1,0
98,United Arab Emirates,0.38,35.75,0.922,8879744.198,68548.5147,25.299999,9630959,3.200000048,0.89999998,33.400002,NA,90,25,50,80,NA,NA,0,6.926,22.13,0,6.25,0.039456092,0.89999998,2014,32.5,0
99,United Kingdom,10.07,18.61,0.893,59349087.19,46956.0778,31.200001,66460344,4.4,1.8,40.200001,20.59,35,89,66,35,51,69,0,74.876,94.38,52,88,0.151518927,1.8,2016,34.8,1
100,United States,48.35,24.29,0.848,277031000.8,62840.0202,27.4,326687501,6.5,2.9000001,37.599998,NA,40,91,62,46,26,68,0,84.826,97.13,73.5,90,0.148000765,2.9000001,2016,41.1,1
101,Uruguay,0.15,20.05,0.689,2376567.011,22100.3106,24,3449299,3.700000048,4.4000001,34.900002,8.62,61,36,38,98,26,53,0,91.75,88.75,95,90,0.043487097,4.4000001,2018,39.7,0
102,Vietnam,2.82,7.81,0.667,63725443.47,7765.40025,22.799999,95540395,11.80000019,0.5,30.4,10.71,70,20,40,30,57,35,1,27.876,59.38,5,35,0.029516311,0.5,2018,35.7,0
103,Zambia,0.48,6.54,0.358,6211952.276,3604.62894,21.799999,17351822,NA,NA,17.1,NA,60,35,40,50,30,42,1,NA,NA,NA,NA,0.027662801,NA,2015,57.1,0
